"","date","hours","low","high","volume"
"495","2021-03-05","5~6",55550230,56084537,16008970087
"496","2021-03-05","7~8",56086235,56640506,15705559186
"497","2021-03-05","9~10",54421973,55670905,76675118073
"498","2021-03-05","11~12",54595863,55141137,29430572560
"499","2021-03-05","13~14",54455176,55013942,21710844063
"500","2021-03-05","15~16",54768030,55173448,18617436581
"501","2021-03-05","17~18",54507890,55085946,20211663468
"502","2021-03-05","19~20",54762600,55222222,14440626669
"503","2021-03-05","21~22",55136970,55909880,65848759337
"504","2021-03-05","23~24",55573861,56455393,52024857276
"505","2021-03-06","1~2",55035762,55821061,19448113546
"506","2021-03-06","3~4",55866816,56647255,14331548164
"507","2021-03-06","5~6",56553498,57035067,34515821925
"508","2021-03-06","7~8",56462570,56912297,77965614994
"509","2021-03-06","9~10",56239105,56653004,16072964439
"510","2021-03-06","11~12",56040530,56331799,13854337415
"511","2021-03-06","13~14",55663636,56181590,18865590227
"512","2021-03-06","15~16",55978068,56319185,16617278677
"513","2021-03-06","17~18",55802344,56193676,16314350834
"514","2021-03-06","19~20",55365829,55837527,13857741987
"515","2021-03-06","21~22",54842670,55519248,21043860845
