"","date","hours","low","high","volume","fluctuation"
"395","2021-02-24","21~22",55678382,57046056,32682926886,25.2399753297942
"396","2021-02-24","23~24",54388216,55929343,30804626548,28.4409935847869
"397","2021-02-25","1~2",55403428,56129345,19617927871,20.8411245273247
"398","2021-02-25","3~4",55328822,55896544,11849865422,16.2993357352174
"399","2021-02-25","5~6",54735393,55514369,20048291128,22.3644518860934
"400","2021-02-25","7~8",55103624,56218620,28277273116,32.0116080536327
"401","2021-02-25","9~10",56605937,57560459,39672646736,27.4043890225342
"402","2021-02-25","11~12",56985001,57485551,40476963097,14.3708232238016
"403","2021-02-25","13~14",56231297,57013129,51930296246,22.4464478328064
"404","2021-02-25","15~16",56548201,57269083,1015103376284,20.6965693481581
"405","2021-02-25","17~18",55761780,56800138,24301970311,29.8113260633706
"406","2021-02-25","19~20",55790432,56602499,23839357069,23.3144966594403
"407","2021-02-25","21~22",57137720,58218492,43716458305,31.0290347762151
"408","2021-02-25","23~24",57243644,58080042,21472790865,24.0130412600963
"409","2021-02-26","1~2",56752822,57620412,23389163276,15.8798113582593
"410","2021-02-26","3~4",56276764,56895093,18647607215,11.317497755093
"411","2021-02-26","5~6",55348783,56479423,30808498380,20.6945099806387
"412","2021-02-26","7~8",54308259,55877234,65810391278,28.7175129102744
"413","2021-02-26","9~10",53314021,54876459,46447502801,28.5978638515612
"414","2021-02-26","11~12",53838558,54946995,53822569997,20.2881204976024
"415","2021-02-26","13~14",53397831,54497214,28993504520,20.1224018839281
"416","2021-02-26","15~16",52250176,53699493,66001646812,26.5273695620262
"417","2021-02-26","17~18",52156934,53410984,34864954008,22.9533275323887
"418","2021-02-26","19~20",53174161,54083711,32038501891,16.6478203078698
"419","2021-02-26","21~22",53246369,54220287,45329924116,17.8259709291407
"420","2021-02-26","23~24",53097227,54450803,28618563709,24.7749876543843
"421","2021-02-27","1~2",54304744,55091102,25366901147,28.9084031849468
"422","2021-02-27","3~4",53652706,54255070,18553504976,22.1443431313693
"423","2021-02-27","5~6",52901088,53964429,50962274098,39.0909615608725
"424","2021-02-27","7~8",52370931,53339980,79813219850,35.624561838208
"425","2021-02-27","9~10",53877385,54737962,28165901770,31.636871358455
"426","2021-02-27","11~12",54140505,54783822,18796980393,23.6498734822186
"427","2021-02-27","13~14",54305225,54688189,110013618100,14.0786737304383
"428","2021-02-27","15~16",54293273,54953411,27832903274,24.2682537237549
"429","2021-02-27","17~18",53416675,54173291,29692267197,27.8150160412709
"430","2021-02-27","19~20",53918101,54574247,22743821586,24.1214982440442
"431","2021-02-27","21~22",54125657,54733130,28453051710,22.332162205979
"432","2021-02-27","23~24",53568525,54393642,21100530386,30.3332768417868
"433","2021-02-28","1~2",53586255,54093482,88044592720,11.2499611861512
"434","2021-02-28","3~4",53997744,54348513,17228285009,7.77982567037062
"435","2021-02-28","5~6",53633377,54170279,11775037222,11.9081331647703
"436","2021-02-28","7~8",52800913,53773409,83335301127,21.5693215339233
"437","2021-02-28","9~10",53155040,53886885,21058656148,16.2318406636059
